symbol,date,wert,VORJAHRESWERT,VERAEND_VORMONAT_PROZENT,VERAEND_VORJAHRESMONAT_PROZENT,ZWOELF_MONATE_MITTELWERT
Pinakothek der Moderne,Jan 2013,27926,32829,"-0,61","-14,93",36039
Pinakothek der Moderne,Feb 2013,20384,26183,"-27,01","-22,15",35556
Pinakothek der Moderne,Mar 2013,,33216,,,
Pinakothek der Moderne,Apr 2013,,70569,,,
Pinakothek der Moderne,May 2013,,48231,,,
Pinakothek der Moderne,Jun 2013,,45160,,,
Pinakothek der Moderne,Jul 2013,,49904,,,
Pinakothek der Moderne,Aug 2013,,24299,,,
Pinakothek der Moderne,Sep 2013,13792,24627,,-44,24076
Pinakothek der Moderne,Oct 2013,33709,28496,"144,41","18,29",24945
Pinakothek der Moderne,Nov 2013,43378,25761,"28,68","68,39",27881
Pinakothek der Moderne,Dec 2013,31269,28098,"-27,92","11,29",28410
Pinakothek der Moderne,Jan 2014,38733,27926,"23,87","38,7",30211
Pinakothek der Moderne,Feb 2014,26643,20384,"-31,21","30,71",31254
Pinakothek der Moderne,Mar 2014,23951,,"-10,1",,30211
Pinakothek der Moderne,Apr 2014,25408,,"6,08",,29610
Pinakothek der Moderne,May 2014,23828,,"-6,22",,28968
Pinakothek der Moderne,Jun 2014,22993,,"-3,5",,28370
Pinakothek der Moderne,Jul 2014,30269,,"31,64",,28543
Pinakothek der Moderne,Aug 2014,38241,,"26,34",,29351
Pinakothek der Moderne,Sep 2014,19919,13792,"-47,91","44,42",29862
Pinakothek der Moderne,Oct 2014,26417,33709,"32,62","-21,63",29254
Pinakothek der Moderne,Nov 2014,17237,43378,"-34,75","-60,26",27076
Pinakothek der Moderne,Dec 2014,18522,31269,"7,45","-40,77",26013
Pinakothek der Moderne,Jan 2015,23369,38733,"26,17","-39,67",24733
Pinakothek der Moderne,Feb 2015,19581,26643,"-16,21","-26,51",24145
Pinakothek der Moderne,Mar 2015,22486,23951,"14,84","-6,12",24023
Pinakothek der Moderne,Apr 2015,22644,25408,"0,7","-10,88",23792
Pinakothek der Moderne,May 2015,27311,23828,"20,61","14,62",24082
Pinakothek der Moderne,Jun 2015,20282,22993,"-25,74","-11,79",23857
Pinakothek der Moderne,Jul 2015,22180,30269,"9,36","-26,72",23182
Pinakothek der Moderne,Aug 2015,27428,38241,"23,66","-28,28",22281
Pinakothek der Moderne,Sep 2015,20586,19919,"-24,95","3,35",22337
Pinakothek der Moderne,Oct 2015,28582,26417,"38,84","8,2",22517
Pinakothek der Moderne,Nov 2015,20761,17237,"-27,36","20,44",22811
Pinakothek der Moderne,Dec 2015,21259,18522,"2,4","14,78",23039
Pinakothek der Moderne,Jan 2016,28791,23369,"35,43","23,2",23491
Pinakothek der Moderne,Feb 2016,27556,19581,"-4,29","40,73",24156
Pinakothek der Moderne,Mar 2016,23264,22486,"-15,58","3,46",24220
Pinakothek der Moderne,Apr 2016,0,22644,"-5,5","-2,91",24165
Pinakothek der Moderne,May 2016,0,22644,"-5,5","-2,91",24165
Pinakothek der Moderne,Jun 2016,0,22644,"-5,5","-2,91",24165
Pinakothek der Moderne,Jul 2016,0,22644,"-5,5","-2,91",24165
Pinakothek der Moderne,Aug 2016,0,22644,"-5,5","-2,91",24165
Pinakothek der Moderne,Sep 2016,0,22644,"-5,5","-2,91",24165
Pinakothek der Moderne,Oct 2016,0,22644,"-5,5","-2,91",24165
Pinakothek der Moderne,Nov 2016,0,22644,"-5,5","-2,91",24165
Pinakothek der Moderne,Dec 2016,0,22644,"-5,5","-2,91",24165
Neue Pinakothek,Jan 2012,22422,16868,"40,01","32,93",17611
Neue Pinakothek,Feb 2012,29640,14091,"32,19","110,35",18907
Neue Pinakothek,Mar 2012,28642,16320,"-3,37","75,5",19934
Neue Pinakothek,Apr 2012,30330,15237,"5,89","99,05",21191
Neue Pinakothek,May 2012,17603,14317,"-41,96","22,95",21465
Neue Pinakothek,Jun 2012,16598,17224,"-5,71","-3,63",21413
Neue Pinakothek,Jul 2012,24254,23755,"46,13","2,1",21455
Neue Pinakothek,Aug 2012,22685,23094,"-6,47","-1,77",21421
Neue Pinakothek,Sep 2012,17876,13673,"-21,2","30,74",21771
Neue Pinakothek,Oct 2012,23743,20454,"32,82","16,08",22045
Neue Pinakothek,Nov 2012,18794,14732,"-20,84","27,57",22383
Neue Pinakothek,Dec 2012,20289,16014,"7,95","26,7",22740
Neue Pinakothek,Jan 2013,17788,22422,"-12,33","-20,67",22354
Neue Pinakothek,Feb 2013,13382,29640,"-24,77","-54,85",20999
Neue Pinakothek,Mar 2013,23800,28642,"77,85","-16,91",20595
Neue Pinakothek,Apr 2013,23066,30330,"-3,08","-23,95",19990
Neue Pinakothek,May 2013,30214,17603,"30,99","71,64",21041
Neue Pinakothek,Jun 2013,19378,16598,"-35,86","16,75",21272
Neue Pinakothek,Jul 2013,21137,24254,"9,08","-12,85",21013
Neue Pinakothek,Aug 2013,28891,22685,"36,68","27,36",21530
Neue Pinakothek,Sep 2013,17075,17876,"-40,9","-4,48",21463
Neue Pinakothek,Oct 2013,15334,23743,"-10,2","-35,42",20762
Neue Pinakothek,Nov 2013,15303,18794,"-0,2","-18,58",20471
Neue Pinakothek,Dec 2013,16065,20289,"4,98","-20,82",20119
Neue Pinakothek,Jan 2014,15885,17788,"-1,12","-10,7",19961
Neue Pinakothek,Feb 2014,11405,13382,"-28,2","-14,77",19796
Neue Pinakothek,Mar 2014,16337,23800,"43,24","-31,36",19174
Neue Pinakothek,Apr 2014,16431,23066,"0,58","-28,77",18621
Neue Pinakothek,May 2014,16368,30214,"-0,38","-45,83",17467
Neue Pinakothek,Jun 2014,13761,19378,"-15,93","-28,99",16999
Neue Pinakothek,Jul 2014,17582,21137,"27,77","-16,82",16703
Neue Pinakothek,Aug 2014,23040,28891,"31,04","-20,25",16216
Neue Pinakothek,Sep 2014,13638,17075,"-40,81","-20,13",15929
Neue Pinakothek,Oct 2014,19157,15334,"40,47","24,93",16248
Neue Pinakothek,Nov 2014,15730,15303,"-17,89","2,79",16283
Neue Pinakothek,Dec 2014,16133,16065,"2,56","0,42",16289
Neue Pinakothek,Jan 2015,18655,15885,"15,63","17,44",16520
Neue Pinakothek,Feb 2015,14513,11405,"-22,2","27,25",16779
Neue Pinakothek,Mar 2015,17946,16337,"23,65","9,85",16913
Neue Pinakothek,Apr 2015,15399,16431,"-14,19","-6,28",16827
Neue Pinakothek,May 2015,20535,16368,"33,35","25,46",17174
Neue Pinakothek,Jun 2015,15397,13761,"-25,02","11,89",17310
Neue Pinakothek,Jul 2015,20488,17582,"33,06","16,53",17553
Neue Pinakothek,Aug 2015,23672,23040,"15,54","2,74",17605
Neue Pinakothek,Sep 2015,20,13638,"-99,92","-99,85",16470
